iter	Passed	Remaining
0	0	425
1	0	412
2	1	404
3	1	405
4	2	402
5	2	398
6	2	397
7	3	394
8	3	392
9	3	390
10	4	391
11	4	390
12	5	391
13	5	391
14	5	390
15	6	389
16	6	388
17	7	387
18	7	386
19	7	385
20	8	385
21	8	384
22	9	383
23	9	382
24	9	381
25	10	380
26	10	379
27	10	379
28	11	378
29	11	378
30	12	377
31	12	377
32	12	376
33	13	376
34	13	375
35	14	374
36	14	374
37	14	373
38	15	373
39	15	372
40	15	372
41	16	371
42	16	371
43	17	370
44	17	369
45	17	369
46	18	369
47	18	368
48	19	368
49	19	368
50	20	375
51	20	376
52	21	376
53	21	375
54	21	374
55	22	373
56	22	373
57	22	372
58	23	371
59	23	371
60	24	370
61	24	369
62	24	369
63	25	368
64	25	368
65	25	367
66	26	367
67	26	366
68	27	365
69	27	365
70	27	364
71	28	364
72	28	363
73	29	363
74	29	362
75	29	361
76	30	361
77	30	360
78	30	359
79	31	359
80	31	358
81	32	358
82	32	355
83	32	355
84	32	354
85	33	354
86	33	353
87	34	353
88	34	352
89	34	352
90	35	351
91	35	351
92	35	350
93	36	350
94	36	349
95	37	349
96	37	348
97	37	348
98	38	347
99	38	347
100	38	346
101	39	346
102	39	345
103	40	345
104	40	344
105	40	344
106	41	344
107	42	349
108	42	349
109	43	349
110	43	349
111	44	348
112	44	348
113	44	348
114	45	347
115	45	346
116	45	345
117	46	345
118	46	344
119	46	344
120	47	343
121	47	342
122	48	342
123	48	342
124	48	341
125	49	341
126	49	340
127	49	339
128	50	339
129	50	338
130	50	338
131	51	338
132	51	338
133	52	338
134	52	338
135	53	338
136	53	338
137	54	338
138	54	339
139	55	339
140	55	339
141	55	337
142	56	337
143	56	337
144	57	336
145	57	336
146	57	335
147	58	335
148	58	334
149	59	334
150	59	334
151	59	333
152	60	333
153	60	333
154	61	332
155	61	332
156	61	332
157	62	332
158	62	331
159	63	331
160	63	330
161	63	329
162	64	329
163	64	328
164	64	328
165	65	327
166	65	327
167	65	326
168	66	326
169	66	325
170	67	325
171	67	324
172	67	324
173	68	323
174	68	323
175	69	323
176	69	322
177	69	322
178	70	322
179	70	321
180	70	321
181	71	320
182	71	320
183	72	319
184	72	319
185	72	318
186	73	318
187	73	317
188	73	317
189	74	316
190	74	317
191	75	316
192	75	316
193	76	316
194	76	315
195	76	315
196	77	315
197	77	314
198	78	314
199	78	314
200	79	314
201	79	313
202	79	313
203	80	313
204	80	312
205	81	312
206	81	311
207	81	311
208	82	310
209	82	310
210	82	310
211	83	309
212	83	309
213	84	309
214	84	308
215	84	308
216	85	308
217	85	307
218	86	307
219	86	306
220	86	306
221	87	305
222	87	305
223	88	305
224	88	304
225	88	304
226	89	303
227	89	303
228	90	303
229	90	303
230	91	303
231	91	302
232	92	302
233	93	304
234	93	304
235	93	304
236	94	304
237	95	304
238	95	304
239	95	303
240	96	303
241	96	303
242	97	302
243	97	302
244	97	301
245	98	301
246	98	300
247	99	300
248	99	300
249	99	299
250	100	299
251	100	298
252	100	298
253	101	297
254	101	297
255	102	297
256	102	296
257	103	296
258	103	295
259	103	295
260	104	294
261	104	294
262	105	294
263	105	293
264	106	294
265	106	294
266	107	294
267	107	293
268	107	293
269	108	292
270	108	292
271	109	292
272	109	291
273	109	291
274	110	290
275	110	290
276	111	289
277	111	289
278	111	288
279	112	288
280	112	287
281	112	287
282	113	287
283	113	286
284	114	286
285	114	286
286	115	286
287	115	285
288	115	285
289	116	284
290	116	284
291	117	283
292	117	283
293	117	282
294	118	282
295	118	281
296	118	281
297	119	280
298	119	280
299	119	279
300	120	279
301	120	279
302	121	278
303	121	278
304	122	278
305	122	278
306	123	277
307	123	277
308	123	276
309	124	276
310	124	275
311	124	275
312	125	274
313	125	274
314	126	274
315	126	273
316	126	273
317	127	272
318	127	272
319	127	271
320	128	271
321	128	270
322	129	270
323	129	270
324	129	269
325	130	269
326	130	268
327	130	268
328	131	267
329	131	267
330	132	267
331	132	267
332	133	266
333	133	266
334	133	265
335	134	265
336	134	264
337	135	264
338	135	263
339	135	263
340	136	262
341	136	262
342	136	261
343	137	261
344	137	261
345	137	260
346	138	260
347	138	259
348	138	259
349	139	258
350	139	258
351	139	257
352	140	257
353	140	256
354	141	256
355	141	256
356	141	255
357	142	255
358	142	254
359	142	254
360	143	253
361	143	253
362	144	252
363	144	252
364	144	251
365	145	251
366	145	250
367	145	250
368	146	250
369	146	249
370	146	249
371	147	248
372	147	248
373	148	248
374	148	248
375	149	247
376	149	247
377	149	246
378	150	246
379	150	245
380	150	245
381	151	244
382	151	244
383	152	243
384	152	243
385	152	243
386	153	242
387	153	242
388	153	241
389	154	241
390	154	240
391	154	240
392	155	239
393	155	239
394	156	238
395	156	238
396	156	238
397	157	237
398	157	237
399	157	236
400	158	236
401	158	236
402	159	235
403	159	235
404	159	234
405	160	234
406	160	233
407	160	233
408	161	232
409	161	232
410	161	232
411	162	231
412	162	231
413	163	230
414	163	230
415	163	229
416	164	229
417	164	228
418	164	228
419	165	227
420	165	227
421	165	227
422	166	226
423	166	226
424	166	225
425	167	225
426	167	224
427	167	224
428	168	224
429	168	223
430	169	223
431	169	222
432	169	222
433	170	221
434	170	221
435	170	220
436	171	220
437	171	220
438	171	219
439	172	219
440	172	218
441	172	218
442	173	217
443	173	217
444	173	216
445	174	216
446	174	216
447	175	215
448	175	215
449	175	214
450	176	214
451	176	214
452	176	213
453	177	213
454	177	212
455	178	212
456	178	211
457	178	211
458	179	211
459	179	210
460	179	210
461	180	209
462	180	209
463	180	208
464	181	208
465	181	208
466	181	207
467	182	207
468	182	206
469	182	206
470	183	205
471	183	205
472	184	205
473	184	204
474	184	204
475	185	203
476	185	203
477	185	202
478	186	202
479	186	202
480	186	201
481	187	201
482	187	200
483	187	200
484	188	199
485	188	199
486	189	199
487	189	198
488	189	198
489	190	197
490	190	197
491	190	197
492	191	196
493	191	196
494	191	195
495	192	195
496	192	194
497	193	194
498	193	194
499	193	193
500	194	193
501	194	192
502	194	192
503	195	192
504	195	191
505	195	191
506	196	190
507	196	190
508	196	189
509	197	189
510	197	189
511	198	188
512	198	188
513	198	187
514	199	187
515	199	187
516	199	186
517	200	186
518	200	185
519	200	185
520	201	185
521	201	184
522	201	184
523	202	183
524	202	183
525	203	182
526	203	182
527	203	182
528	204	181
529	204	181
530	204	180
531	205	180
532	205	180
533	205	179
534	206	179
535	206	178
536	206	178
537	207	177
538	207	177
539	207	177
540	208	176
541	208	176
542	209	175
543	209	175
544	209	175
545	210	174
546	210	174
547	210	173
548	211	173
549	211	173
550	211	172
551	212	172
552	212	171
553	212	171
554	213	171
555	213	170
556	213	170
557	214	169
558	214	169
559	215	168
560	215	168
561	215	168
562	216	167
563	216	167
564	216	166
565	217	166
566	217	166
567	217	165
568	218	165
569	218	164
570	218	164
571	219	164
572	219	163
573	220	163
574	220	162
575	220	162
576	221	162
577	221	161
578	221	161
579	222	160
580	222	160
581	222	160
582	223	159
583	223	159
584	223	158
585	224	158
586	224	158
587	225	157
588	225	157
589	225	156
590	226	156
591	226	156
592	227	156
593	228	155
594	228	155
595	229	155
596	229	155
597	230	154
598	230	154
599	231	154
600	231	153
601	232	153
602	232	153
603	233	152
604	233	152
605	233	152
606	234	151
607	234	151
608	235	151
609	235	150
610	236	150
611	236	150
612	237	149
613	237	149
614	238	149
615	238	148
616	239	148
617	239	148
618	240	147
619	240	147
620	240	147
621	241	146
622	241	146
623	242	145
624	242	145
625	242	145
626	243	144
627	243	144
628	243	143
629	244	143
630	244	143
631	244	142
632	245	142
633	245	141
634	245	141
635	246	140
636	246	140
637	247	140
638	247	139
639	247	139
640	248	138
641	248	138
642	248	138
643	249	137
644	249	137
645	249	136
646	250	136
647	250	136
648	251	135
649	251	135
650	251	134
651	252	134
652	252	134
653	253	133
654	254	133
655	254	133
656	254	133
657	255	132
658	255	132
659	255	131
660	256	131
661	256	131
662	257	130
663	257	130
664	257	129
665	258	129
666	258	129
667	258	128
668	259	128
669	259	127
670	259	127
671	260	127
672	260	126
673	260	126
674	261	125
675	261	125
676	262	125
677	262	124
678	262	124
679	263	123
680	263	123
681	263	123
682	264	122
683	264	122
684	264	121
685	265	121
686	265	121
687	265	120
688	266	120
689	266	119
690	267	119
691	267	119
692	267	118
693	268	118
694	268	117
695	268	117
696	269	117
697	269	116
698	269	116
699	270	115
700	270	115
701	270	115
702	271	114
703	271	114
704	272	113
705	272	113
706	272	113
707	273	112
708	273	112
709	273	111
710	274	111
711	274	111
712	274	110
713	275	110
714	275	109
715	275	109
716	276	109
717	276	108
718	276	108
719	277	107
720	277	107
721	278	107
722	278	106
723	279	106
724	279	106
725	279	105
726	280	105
727	280	104
728	280	104
729	281	104
730	281	103
731	282	103
732	282	102
733	282	102
734	283	102
735	283	101
736	283	101
737	284	100
738	284	100
739	284	100
740	285	99
741	285	99
742	285	98
743	286	98
744	286	98
745	286	97
746	287	97
747	287	96
748	288	96
749	288	96
750	288	95
751	289	95
752	289	94
753	289	94
754	290	94
755	290	93
756	290	93
757	291	92
758	291	92
759	292	92
760	292	91
761	292	91
762	293	91
763	293	90
764	294	90
765	294	89
766	294	89
767	295	89
768	295	88
769	295	88
770	296	87
771	296	87
772	296	87
773	297	86
774	297	86
775	298	86
776	298	85
777	298	85
778	299	84
779	299	84
780	300	84
781	300	83
782	300	83
783	301	83
784	301	82
785	302	82
786	302	81
787	302	81
788	303	81
789	303	80
790	303	80
791	304	79
792	304	79
793	304	79
794	305	78
795	305	78
796	305	77
797	306	77
798	306	77
799	307	76
800	307	76
801	307	75
802	308	75
803	308	75
804	308	74
805	309	74
806	309	74
807	309	73
808	310	73
809	310	72
810	311	72
811	311	72
812	311	71
813	312	71
814	312	70
815	312	70
816	313	70
817	313	69
818	313	69
819	314	68
820	314	68
821	314	68
822	315	67
823	315	67
824	316	67
825	316	66
